1.587355312780762,-75.56098187870167, Colombia
10.287245646780304,-66.82040455030821, venezuela
6.8065139038691,-58.10598516251152, guyana 
5.811023026990716,-55.18989817009126, suriname
4.817956608621837,-52.364169969991664, guayana francesa
-16.25546708152074, -44.67166481399617, Brasil
-25.243608147589747,-57.519009972985195, paraguay
-34.83803082422514,-56.01882624685142, uruguay
-34.84418722643713,-58.3227817917071, argentina
-33.46362375936431,-70.65154075401787, Chile
-16.510634591838024,-68.18235894576728, Bolivia
-12.021786002659457,-77.116813734097, Peru
-0.13344090950006213,-78.355203874935, Ecuador
